"","Price","Surface","Building_type","District","Rent","Number_of_rooms","Condition"
"2559",744000,80.2,"kamienica","Ołbin",470,3,"dobry"
"2560",670000,49,"apartamentowiec","Żerniki",650,2,"bardzo dobry"
"2561",1564074,91.91,"apartamentowiec","Kleczków",910,5,"do remontu"
"2562",799000,56.12,"blok mieszkalny","Klecina",450,2,"nowe wykończone"
"2563",713000,52.47,"blok mieszkalny","Krzyki",550,3,"do wykończenia"
"2564",860472,38.55,"blok mieszkalny","Stare Miasto",450,2,"bardzo dobry"
"2565",772000,58.35,"blok mieszkalny","Krzyki",620,3,"do wykończenia"
"2566",607000,60.16,"blok mieszkalny","Lipa Piotrowska",650,3,"do wykończenia"
"2567",570000,43.87,"dom wielorodzinny","Ołbin",630,2,"bardzo dobry"
"2568",784213,75.41,"blok mieszkalny","Wojszyce",1000,4,"wysoki standard"
"2569",799000,49.91,"blok mieszkalny","Szczepin",550,2,"bardzo dobry"
"2570",767227,48.2,"blok mieszkalny","Kleczków",550,2,"do wykończenia"
"2571",586800,38.5,"apartamentowiec","Krzyki",550,2,"bardzo dobry"
"2572",1950000,89,"apartamentowiec","Swojczyce",950,3,"wysoki standard"
"2573",878000,54.39,"blok mieszkalny","Stare Miasto",700,2,"dobry"
"2574",629000,31.46,"apartamentowiec","Ołbin",490,2,"wysoki standard"
"2575",709016,38.07,"blok mieszkalny","Stare Miasto",450,2,"do wykończenia"
"2576",814225,55.8,"blok mieszkalny","Klecina",350,3,"do wykończenia"
"2577",1245434,56.77,"apartamentowiec","Stare Miasto",900,3,"bardzo dobry"
"2578",564450,33.13,"apartamentowiec","Klecina",330,2,"do wykończenia"
"2579",829000,66.3,"apartamentowiec","Wojszyce",643,2,"bardzo dobry"
"2580",1387000,91.32,"blok mieszkalny","Krzyki",920,5,"nowe wykończone"
"2581",1041000,99.8,"blok mieszkalny","Partynice",860,4,"dobry"
"2582",570000,49,"kamienica","Stare Miasto",500,2,"bardzo dobry"
"2583",1360000,64.89,"apartamentowiec","Stare Miasto",900,3,"do wykończenia"
"2584",499000,35,"blok mieszkalny","Lipa Piotrowska",400,2,"wysoki standard"
"2585",2500000,68,"apartamentowiec","Stare Miasto",850,3,"bardzo dobry"
"2586",661300,59.7,"blok mieszkalny","Księże",600,2,"do wykończenia"
"2587",545643,26.78,"blok mieszkalny","Stare Miasto",350,1,"do wykończenia"
"2588",558450,37.23,"apartamentowiec","Stare Miasto",400,1,"bardzo dobry"
"2589",757369,74.69,"blok mieszkalny","Poświętne",400,3,"do wykończenia"
